avg_ti,avg_si,max_si,max_ti,min_si,min_ti,std_si,std_ti,blur_avg,blur_min,blur_max,blur_std,bitrate,width,height,MSCN_mean,MSCN_std,train__mos
8.066,32.546,40.942,16.158,24.436,1.179,3.507,4.793,3.795239166,2.444000046,5.530995965,0.651237197,40882632,1280,720,1.294711333,0.401978667,4.5
8.041,32.453,40.855,16.128,24.379,1.175,3.491,4.777,3.824353586,2.451410568,5.582766381,0.656481846,2999827,1280,720,1.296248,0.397239333,4.4706
7.991,32.212,40.616,16.104,24.267,1.179,3.465,4.757,3.726304823,2.416174182,5.441999682,0.631167035,2142057,1280,720,1.295566,0.399365333,4.4118
7.858,31.339,39.307,15.989,23.699,1.241,3.281,4.701,3.475849181,2.332546558,4.92032742,0.538760552,1342222,1280,720,1.296466,0.396564667,4.2941
7.615,29.797,37.417,15.812,22.938,1.083,2.999,4.581,3.183616069,2.21087007,4.448386741,0.43157805,801691,1280,720,1.295777333,0.398754,3.7059
7.186,27.327,34.066,15.457,21.984,1.037,2.681,4.247,2.843027105,2.128172794,3.829842381,0.335038032,477950,1280,720,1.296676,0.395921333,2.8529
6.396,23.605,29.4,14.717,18.835,1.417,2.448,3.372,2.366740939,1.832539644,3.062052851,0.245613315,279630,1280,720,1.295984667,0.398164,1.6471
5.254,19.481,24.283,12.218,15.295,1.543,1.783,2.223,1.904548834,1.33275973,2.358991535,0.184861171,146969,1280,720,1.296879333,0.395297333,1.0882
4.299,94.377,98.216,14.186,87.375,2.944,2.894,1.529,32.72666415,29.39537193,34.80217752,1.209299907,65177529,720,1280,1.294862667,0.403008,4.4359
4.139,93.799,97.549,14.073,86.111,2.711,2.951,1.551,30.85310368,26.56093611,33.93451079,1.485819298,4287566,720,1280,1.296399333,0.398275333,4.4615
4.106,93.762,97.645,14.044,85.951,2.62,2.946,1.554,29.89655877,25.57997054,32.80883523,1.473574632,1901639,720,1280,1.295721333,0.400405333,4.641
4.082,93.59,97.423,14.043,85.942,2.517,2.886,1.564,28.12511122,24.12075144,32.57875902,1.488398168,828990,720,1280,1.296617333,0.397606667,4.2051
3.968,91.991,95.733,13.983,84.045,2.315,3.119,1.599,25.04973819,21.13368053,32.17209435,1.954772142,400616,720,1280,1.295937333,0.399791333,4.1795
3.709,88.436,94.669,13.772,80.585,1.679,3.754,1.674,20.88272826,17.30191373,30.62829931,2.698983735,221265,720,1280,1.296826667,0.396960667,3.1795
3.194,85.82,91.856,13.422,77.337,0.863,3.684,1.827,17.90992297,14.22176775,27.14724574,2.223645466,133084,720,1280,1.296141333,0.39921,2.3846
2.654,72.641,80.991,12.996,63.804,0.664,5.194,1.681,10.91897899,7.943582676,18.33119884,2.334249338,79948,720,1280,1.297031333,0.396341333,1.2564
6.98,70.633,75.736,10.213,66.182,4.297,2.036,1.325,17.33305655,14.0944797,21.00941191,1.366883371,61432068,720,1280,1.294201333,0.407265333,4.5758
6.852,70.269,75.369,10.1,66.108,4.168,2.013,1.317,15.93918642,13.12711989,19.91756261,1.354219909,4911483,720,1280,1.295736,0.40259,4.5152
6.766,70.093,75.144,9.975,65.985,4.061,1.98,1.311,15.03475483,12.66711509,18.72838578,1.234236489,1965671,720,1280,1.295056667,0.404687333,4.2424
6.652,69.398,74.039,9.735,65.557,4.008,1.901,1.298,13.70966691,11.78215897,16.6978788,1.018758723,873267,720,1280,1.295956,0.401916667,4.1515
6.441,67.282,71.229,9.334,64.225,3.76,1.641,1.286,11.8168947,10.60765318,13.71108115,0.686509694,456081,720,1280,1.295268667,0.404084667,3.4242
6.103,63.888,67.805,8.687,60.319,3.447,1.444,1.284,9.890854625,8.804986617,11.86695952,0.600039417,268800,720,1280,1.296167333,0.401284667,2.4242
5.468,57.295,61.101,8.052,53.377,2.84,1.699,1.249,7.393837494,6.109372857,8.805079512,0.659318438,166316,720,1280,1.295473333,0.403504667,1.8182
4.122,44.576,47.951,6.604,41.09,1.981,1.744,1.027,4.368195884,3.590476755,5.366876565,0.449748821,103892,720,1280,1.296372667,0.400672,1.0606
19.745,50.599,68.448,30.572,32.231,9.952,14.761,4.518,7.714799973,3.122460267,13.19217738,4.440755245,22718583,1280,720,1.294266667,0.405284667,4.2353
19.735,50.596,68.452,30.561,32.233,9.935,14.763,4.516,7.698189977,3.127034575,13.18750052,4.454688932,1922741,1280,720,1.295800667,0.400585333,4.1471
19.728,50.599,68.422,30.58,32.268,9.934,14.751,4.517,7.701856143,3.179614338,13.17214275,4.425176564,1395391,1280,720,1.295125333,0.402697333,4.2647
19.714,50.373,67.912,30.632,32.082,9.871,14.679,4.521,7.587606274,2.995397346,12.84381398,4.425651617,922336,1280,720,1.29602,0.399910667,3.9706
19.703,50.103,67.47,30.634,31.95,9.782,14.635,4.524,7.449081361,3.027988567,12.57469909,4.416089057,595703,1280,720,1.295340667,0.402089333,3.2059
19.65,49.643,66.304,30.755,32.138,9.732,14.142,4.537,7.425556759,2.788305822,12.64279495,4.328967979,409903,1280,720,1.296231333,0.399274,2.5294
19.471,47.394,64.364,31.045,29.132,9.315,14.065,4.531,6.600576456,2.27890071,11.87356968,4.355838092,293397,1280,720,1.295545333,0.401504,1.8529
18.853,45.085,60.091,30.256,27.617,8.752,12.573,4.544,5.731917491,1.688685058,10.04722098,3.674670481,207015,1280,720,1.296437333,0.398658667,1.1471
26.976,67.015,80.132,41.823,42.417,18.879,8.61,4.553,11.42900774,3.740390011,18.94546965,3.662698074,76714859,720,1280,1.294444667,0.406043333,4.5714
26.904,66.647,79.872,41.789,42.068,18.795,8.567,4.558,11.1249296,3.841294642,18.12298556,3.427842137,10108419,720,1280,1.295982667,0.401353333,4.3429
26.797,66.14,79.37,41.741,41.777,18.653,8.475,4.571,10.65141538,3.803084228,17.43588726,3.196067118,5446706,720,1280,1.295296,0.403464667,4.2857
26.583,65.092,78.039,41.617,41.511,18.345,8.211,4.59,9.931518188,3.83425354,15.96807593,2.81676154,2823592,720,1280,1.296196667,0.400691333,4.3143
26.115,63.156,75.658,41.222,41.627,17.609,7.65,4.636,8.942837527,3.861581854,13.86694777,2.323128739,1454839,720,1280,1.295514,0.402853333,3.4
25.113,59.899,70.874,40.761,41.738,16.15,6.876,4.767,7.83698114,3.890027181,11.5779628,1.843653862,786389,720,1280,1.296406667,0.400048667,2.5714
23.178,54.191,64.385,39.163,39.897,13.647,5.871,4.912,6.444580338,3.796902718,9.121132592,1.237768857,440540,720,1280,1.295724667,0.402282667,1.8
20.289,47.117,56.386,36.6,35.692,10.578,5.095,4.847,5.236691475,3.708809556,6.940598031,0.808577766,268809,720,1280,1.296614,0.399437333,1.0571
3.225,36.722,37.557,11.244,35.956,0.087,0.307,3.132,4.963713512,4.703280024,5.344415008,0.129961037,6320137,1280,720,1.294484667,0.404122667,4.3636
3.232,36.773,37.593,11.241,36.005,0.091,0.303,3.128,4.999140174,4.744901868,5.409429217,0.139629419,597875,1280,720,1.296017333,0.399411333,4.4545
3.227,36.764,37.571,11.247,36.027,0.094,0.299,3.124,5.00694967,4.757527592,5.394997184,0.1316186,430535,1280,720,1.295342,0.401529333,4.4848
3.229,36.504,37.243,11.24,35.77,0.101,0.302,3.098,4.796709845,4.554133723,5.244058171,0.163476433,281214,1280,720,1.296238,0.398741333,4.3636
3.246,36.387,37.121,11.196,35.802,0.127,0.302,3.028,4.822042886,4.489104534,5.250610707,0.17765726,175339,1280,720,1.295555333,0.400919333,4.0606
3.229,35.239,35.883,11.189,34.69,0.159,0.262,2.834,4.19834652,3.838875323,4.612205467,0.19211366,115657,1280,720,1.296452,0.398096,3.2121
3.071,33.96,34.604,10.39,33.268,0.199,0.243,2.459,3.592685405,3.150953532,3.916449808,0.166177466,81249,1280,720,1.295760667,0.400336667,2.3333
2.552,28.536,30.274,8.639,26.915,0.487,0.884,1.634,1.744230001,1.233473128,2.372410719,0.354904665,55586,1280,720,1.296658667,0.397476,1.3939
17.537,57.401,62.887,22.56,48.407,12.651,3.208,2.201,7.414667471,5.174008511,9.335098156,0.856144082,45950508,720,1280,1.294651333,0.404966,4.1111
17.481,57.174,62.657,22.524,48.149,12.575,3.184,2.21,7.198536702,5.069807908,9.170797576,0.803953227,6295157,720,1280,1.296189333,0.400258667,4.1389
17.415,56.874,62.27,22.49,47.955,12.454,3.145,2.227,6.941573529,4.785606264,8.756843831,0.772718592,3136615,720,1280,1.295507333,0.402382,4.0833
